experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos,uas,las
mono,Mongolic,Daur,0,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/test.conllu,experiments_0616/models/mono/Mongolic/Daur/fold0/parser.pt,experiments_0616/predictions/mono/Mongolic/Daur/fold0/test_pred.conllu,139,100.00,71.94,61.15
mono,Mongolic,Daur,1,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/test.conllu,experiments_0616/models/mono/Mongolic/Daur/fold1/parser.pt,experiments_0616/predictions/mono/Mongolic/Daur/fold1/test_pred.conllu,136,100.00,66.91,56.62
mono,Mongolic,Daur,2,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/test.conllu,experiments_0616/models/mono/Mongolic/Daur/fold2/parser.pt,experiments_0616/predictions/mono/Mongolic/Daur/fold2/test_pred.conllu,118,100.00,72.88,63.56
mono,Mongolic,Daur,3,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold3/test.conllu,experiments_0616/models/mono/Mongolic/Daur/fold3/parser.pt,experiments_0616/predictions/mono/Mongolic/Daur/fold3/test_pred.conllu,136,100.00,64.71,51.47
mono,Mongolic,Daur,4,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold4/test.conllu,experiments_0616/models/mono/Mongolic/Daur/fold4/parser.pt,experiments_0616/predictions/mono/Mongolic/Daur/fold4/test_pred.conllu,133,100.00,66.92,54.14
mono,Mongolic,Kalmyk,0,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/test.conllu,experiments_0616/models/mono/Mongolic/Kalmyk/fold0/parser.pt,experiments_0616/predictions/mono/Mongolic/Kalmyk/fold0/test_pred.conllu,110,100.00,68.18,47.27
mono,Mongolic,Kalmyk,1,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/test.conllu,experiments_0616/models/mono/Mongolic/Kalmyk/fold1/parser.pt,experiments_0616/predictions/mono/Mongolic/Kalmyk/fold1/test_pred.conllu,90,100.00,66.67,52.22
mono,Mongolic,Kalmyk,2,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/test.conllu,experiments_0616/models/mono/Mongolic/Kalmyk/fold2/parser.pt,experiments_0616/predictions/mono/Mongolic/Kalmyk/fold2/test_pred.conllu,92,100.00,63.04,50.00
mono,Mongolic,Kalmyk,3,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/test.conllu,experiments_0616/models/mono/Mongolic/Kalmyk/fold3/parser.pt,experiments_0616/predictions/mono/Mongolic/Kalmyk/fold3/test_pred.conllu,88,100.00,73.86,64.77
mono,Mongolic,Kalmyk,4,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/test.conllu,experiments_0616/models/mono/Mongolic/Kalmyk/fold4/parser.pt,experiments_0616/predictions/mono/Mongolic/Kalmyk/fold4/test_pred.conllu,103,100.00,57.28,35.92
mono,Mongolic,Khalkha,0,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/test.conllu,experiments_0616/models/mono/Mongolic/Khalkha/fold0/parser.pt,experiments_0616/predictions/mono/Mongolic/Khalkha/fold0/test_pred.conllu,94,100.00,72.34,59.57
mono,Mongolic,Khalkha,1,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/test.conllu,experiments_0616/models/mono/Mongolic/Khalkha/fold1/parser.pt,experiments_0616/predictions/mono/Mongolic/Khalkha/fold1/test_pred.conllu,106,100.00,71.70,59.43
mono,Mongolic,Khalkha,2,Khalkha,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/test.conllu,experiments_0616/models/mono/Mongolic/Khalkha/fold2/parser.pt,experiments_0616/predictions/mono/Mongolic/Khalkha/fold2/test_pred.conllu,97,100.00,74.23,65.98
