experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos
mono,Mongolic,Daur,0,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/test.conllu,experiments_0616/models_upos/mono/Mongolic/Daur/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Daur/fold0/test_pred.conllu,139,66.91
mono,Mongolic,Daur,1,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/test.conllu,experiments_0616/models_upos/mono/Mongolic/Daur/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Daur/fold1/test_pred.conllu,136,69.85
mono,Mongolic,Daur,2,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/test.conllu,experiments_0616/models_upos/mono/Mongolic/Daur/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Daur/fold2/test_pred.conllu,118,73.73
mono,Mongolic,Daur,3,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold3/test.conllu,experiments_0616/models_upos/mono/Mongolic/Daur/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Daur/fold3/test_pred.conllu,136,74.26
mono,Mongolic,Daur,4,Daur,experiments_0616/splits/mono/Mongolic/Daur/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold4/test.conllu,experiments_0616/models_upos/mono/Mongolic/Daur/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Daur/fold4/test_pred.conllu,133,69.17
mono,Mongolic,Kalmyk,0,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/test.conllu,experiments_0616/models_upos/mono/Mongolic/Kalmyk/fold0/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Kalmyk/fold0/test_pred.conllu,110,71.82
mono,Mongolic,Kalmyk,1,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/test.conllu,experiments_0616/models_upos/mono/Mongolic/Kalmyk/fold1/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Kalmyk/fold1/test_pred.conllu,90,73.33
mono,Mongolic,Kalmyk,2,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/test.conllu,experiments_0616/models_upos/mono/Mongolic/Kalmyk/fold2/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Kalmyk/fold2/test_pred.conllu,92,77.17
mono,Mongolic,Kalmyk,3,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold3/test.conllu,experiments_0616/models_upos/mono/Mongolic/Kalmyk/fold3/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Kalmyk/fold3/test_pred.conllu,88,68.18
mono,Mongolic,Kalmyk,4,Kalmyk,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/train.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold4/test.conllu,experiments_0616/models_upos/mono/Mongolic/Kalmyk/fold4/tagger.pt,experiments_0616/predictions_upos/mono/Mongolic/Kalmyk/fold4/test_pred.conllu,103,65.05
