experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos,uas,las
joint,Mongolic,Daur,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/test.conllu,experiments_0616/models/joint/Mongolic/fold0/parser.pt,experiments_0616/predictions/joint/Mongolic/Daur/fold0/test_pred.conllu,139,100.00,67.63,61.87
joint,Mongolic,Kalmyk,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/test.conllu,experiments_0616/models/joint/Mongolic/fold0/parser.pt,experiments_0616/predictions/joint/Mongolic/Kalmyk/fold0/test_pred.conllu,110,100.00,62.73,46.36
joint,Mongolic,Khalkha,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/test.conllu,experiments_0616/models/joint/Mongolic/fold0/parser.pt,experiments_0616/predictions/joint/Mongolic/Khalkha/fold0/test_pred.conllu,94,100.00,86.17,71.28
joint,Mongolic,Ordos,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold0/test.conllu,experiments_0616/models/joint/Mongolic/fold0/parser.pt,experiments_0616/predictions/joint/Mongolic/Ordos/fold0/test_pred.conllu,59,100.00,79.66,57.63
joint,Mongolic,Tu,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold0/test.conllu,experiments_0616/models/joint/Mongolic/fold0/parser.pt,experiments_0616/predictions/joint/Mongolic/Tu/fold0/test_pred.conllu,117,100.00,70.09,59.83
joint,Mongolic,Daur,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/test.conllu,experiments_0616/models/joint/Mongolic/fold1/parser.pt,experiments_0616/predictions/joint/Mongolic/Daur/fold1/test_pred.conllu,136,100.00,76.47,69.12
joint,Mongolic,Kalmyk,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/test.conllu,experiments_0616/models/joint/Mongolic/fold1/parser.pt,experiments_0616/predictions/joint/Mongolic/Kalmyk/fold1/test_pred.conllu,90,100.00,71.11,54.44
joint,Mongolic,Khalkha,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/test.conllu,experiments_0616/models/joint/Mongolic/fold1/parser.pt,experiments_0616/predictions/joint/Mongolic/Khalkha/fold1/test_pred.conllu,106,100.00,72.64,66.04
joint,Mongolic,Ordos,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold1/test.conllu,experiments_0616/models/joint/Mongolic/fold1/parser.pt,experiments_0616/predictions/joint/Mongolic/Ordos/fold1/test_pred.conllu,55,100.00,69.09,60.00
joint,Mongolic,Tu,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold1/test.conllu,experiments_0616/models/joint/Mongolic/fold1/parser.pt,experiments_0616/predictions/joint/Mongolic/Tu/fold1/test_pred.conllu,108,100.00,75.00,62.04
