experiment,family,language,fold,source,train_file,dev_file,test_file,model_file,prediction_file,tokens,upos
joint,Mongolic,Daur,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold0/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold0/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Daur/fold0/test_pred.conllu,139,72.66
joint,Mongolic,Kalmyk,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold0/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold0/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Kalmyk/fold0/test_pred.conllu,110,74.55
joint,Mongolic,Khalkha,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold0/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold0/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Khalkha/fold0/test_pred.conllu,94,79.79
joint,Mongolic,Ordos,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold0/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold0/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Ordos/fold0/test_pred.conllu,59,55.93
joint,Mongolic,Tu,0,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold0/train.conllu,experiments_0616/splits/joint/Mongolic/fold0/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold0/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold0/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Tu/fold0/test_pred.conllu,117,78.63
joint,Mongolic,Daur,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold1/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold1/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Daur/fold1/test_pred.conllu,136,70.59
joint,Mongolic,Kalmyk,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold1/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold1/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Kalmyk/fold1/test_pred.conllu,90,78.89
joint,Mongolic,Khalkha,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold1/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold1/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Khalkha/fold1/test_pred.conllu,106,73.58
joint,Mongolic,Ordos,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold1/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold1/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Ordos/fold1/test_pred.conllu,55,69.09
joint,Mongolic,Tu,1,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold1/train.conllu,experiments_0616/splits/joint/Mongolic/fold1/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold1/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold1/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Tu/fold1/test_pred.conllu,108,71.30
joint,Mongolic,Daur,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Daur/fold2/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold2/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Daur/fold2/test_pred.conllu,118,75.42
joint,Mongolic,Kalmyk,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Kalmyk/fold2/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold2/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Kalmyk/fold2/test_pred.conllu,92,77.17
joint,Mongolic,Khalkha,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Khalkha/fold2/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold2/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Khalkha/fold2/test_pred.conllu,97,75.26
joint,Mongolic,Ordos,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Ordos/fold2/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold2/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Ordos/fold2/test_pred.conllu,64,57.81
joint,Mongolic,Tu,2,Mongolic_joint,experiments_0616/splits/joint/Mongolic/fold2/train.conllu,experiments_0616/splits/joint/Mongolic/fold2/dev.conllu,experiments_0616/splits/mono/Mongolic/Tu/fold2/test.conllu,experiments_0616/models_upos/joint/Mongolic/fold2/tagger.pt,experiments_0616/predictions_upos/joint/Mongolic/Tu/fold2/test_pred.conllu,136,71.32
